instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_category,weather_category
9556,,1,1,2,2,0,3,1,1,0.26,0.303,0.65,0.0,0,1,1,Musim Semi,Cerah/Sedikit Berawan
9557,,1,1,2,3,0,3,1,1,0.26,0.303,0.65,0.0,0,1,1,Musim Semi,Cerah/Sedikit Berawan
9558,,1,1,2,4,0,3,1,1,0.24,0.2576,0.7,0.0896,0,1,1,Musim Semi,Cerah/Sedikit Berawan
9559,,1,1,2,5,0,3,1,1,0.24,0.2576,0.7,0.0896,0,20,20,Musim Semi,Cerah/Sedikit Berawan
9560,,1,1,2,6,0,3,1,2,0.24,0.2879,0.7,0.0,3,95,98,Musim Semi,Berkabut/Berawan
9561,,1,1,2,7,0,3,1,2,0.24,0.2576,0.7,0.1045,5,276,281,Musim Semi,Berkabut/Berawan
9562,,1,1,2,8,0,3,1,2,0.24,0.2273,0.7,0.2239,13,495,508,Musim Semi,Berkabut/Berawan
9563,,1,1,2,9,0,3,1,2,0.24,0.2576,0.7,0.1642,8,245,253,Musim Semi,Berkabut/Berawan
9564,,1,1,2,10,0,3,1,2,0.26,0.2576,0.7,0.2239,1,107,108,Musim Semi,Berkabut/Berawan
9565,,1,1,2,11,0,3,1,2,0.26,0.2576,0.65,0.2239,5,97,102,Musim Semi,Berkabut/Berawan
9566,,1,1,2,12,0,3,1,2,0.28,0.2576,0.65,0.2836,14,124,138,Musim Semi,Berkabut/Berawan
9567,,1,1,2,13,0,3,1,2,0.28,0.2879,0.61,0.1045,15,111,126,Musim Semi,Berkabut/Berawan
9568,,1,1,2,14,0,3,1,2,0.3,0.303,0.56,0.1642,8,100,108,Musim Semi,Berkabut/Berawan
9569,,1,1,2,15,0,3,1,3,0.3,0.3182,0.61,0.1045,5,49,54,Musim Semi,Salju Ringan/Hujan Ringan
9570,,1,1,2,16,0,3,1,3,0.26,0.2727,0.81,0.1045,2,73,75,Musim Semi,Salju Ringan/Hujan Ringan
9571,,1,1,2,17,0,3,1,3,0.24,0.2576,0.87,0.1045,8,147,155,Musim Semi,Salju Ringan/Hujan Ringan
9572,,1,1,2,18,0,3,1,3,0.24,0.2576,0.87,0.1045,4,163,167,Musim Semi,Salju Ringan/Hujan Ringan
9573,,1,1,2,19,0,3,1,3,0.24,0.2576,0.87,0.1045,3,158,161,Musim Semi,Salju Ringan/Hujan Ringan
9574,,1,1,2,20,0,3,1,3,0.24,0.2424,0.87,0.1343,3,122,125,Musim Semi,Salju Ringan/Hujan Ringan
9575,,1,1,2,21,0,3,1,3,0.24,0.2273,0.87,0.194,3,126,129,Musim Semi,Salju Ringan/Hujan Ringan
9576,,1,1,2,22,0,3,1,2,0.24,0.2424,0.87,0.1343,3,95,98,Musim Semi,Berkabut/Berawan
9577,,1,1,2,23,0,3,1,2,0.24,0.2424,0.87,0.1642,3,57,60,Musim Semi,Berkabut/Berawan
9578,,1,1,2,0,0,4,1,2,0.24,0.2424,0.87,0.1642,3,23,26,Musim Semi,Berkabut/Berawan
9579,,1,1,2,1,0,4,1,2,0.24,0.2424,0.87,0.1343,2,10,12,Musim Semi,Berkabut/Berawan
9580,,1,1,2,2,0,4,1,1,0.22,0.2273,0.8,0.1343,0,2,2,Musim Semi,Cerah/Sedikit Berawan
9581,,1,1,2,3,0,4,1,1,0.22,0.2121,0.8,0.2836,0,4,4,Musim Semi,Cerah/Sedikit Berawan
9582,,1,1,2,4,0,4,1,2,0.22,0.197,0.75,0.4478,0,1,1,Musim Semi,Berkabut/Berawan
9583,,1,1,2,5,0,4,1,1,0.2,0.1818,0.75,0.2836,0,18,18,Musim Semi,Cerah/Sedikit Berawan
9584,,1,1,2,6,0,4,1,1,0.2,0.1818,0.75,0.2836,1,75,76,Musim Semi,Cerah/Sedikit Berawan
9585,,1,1,2,7,0,4,1,1,0.2,0.197,0.69,0.2537,4,263,267,Musim Semi,Cerah/Sedikit Berawan
9586,,1,1,2,8,0,4,1,1,0.2,0.197,0.64,0.2537,11,473,484,Musim Semi,Cerah/Sedikit Berawan
9587,,1,1,2,9,0,4,1,1,0.2,0.197,0.59,0.2239,9,229,238,Musim Semi,Cerah/Sedikit Berawan
9588,,1,1,2,10,0,4,1,1,0.22,0.2121,0.51,0.2239,7,90,97,Musim Semi,Cerah/Sedikit Berawan
9589,,1,1,2,11,0,4,1,1,0.24,0.2273,0.52,0.2239,4,95,99,Musim Semi,Cerah/Sedikit Berawan
9590,,1,1,2,12,0,4,1,1,0.26,0.2273,0.48,0.3284,10,148,158,Musim Semi,Cerah/Sedikit Berawan
9591,,1,1,2,13,0,4,1,1,0.3,0.2727,0.42,0.3284,10,144,154,Musim Semi,Cerah/Sedikit Berawan
9592,,1,1,2,14,0,4,1,1,0.32,0.303,0.39,0.2985,18,126,144,Musim Semi,Cerah/Sedikit Berawan
9593,,1,1,2,15,0,4,1,1,0.32,0.303,0.36,0.2985,14,120,134,Musim Semi,Cerah/Sedikit Berawan
9594,,1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0.0,15,223,238,Musim Semi,Cerah/Sedikit Berawan
9595,,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343,12,387,399,Musim Semi,Cerah/Sedikit Berawan
9596,,1,1,2,18,0,4,1,1,0.34,0.3333,0.31,0.1642,13,404,417,Musim Semi,Cerah/Sedikit Berawan
9597,,1,1,2,19,0,4,1,1,0.32,0.3333,0.33,0.1045,8,287,295,Musim Semi,Cerah/Sedikit Berawan
9598,,1,1,2,20,0,4,1,1,0.32,0.3485,0.36,0.0,2,197,199,Musim Semi,Cerah/Sedikit Berawan
9599,,1,1,2,21,0,4,1,1,0.3,0.3182,0.52,0.0896,8,169,177,Musim Semi,Cerah/Sedikit Berawan
9600,,1,1,2,22,0,4,1,2,0.3,0.3333,0.56,0.0,3,104,107,Musim Semi,Berkabut/Berawan
9601,,1,1,2,23,0,4,1,2,0.3,0.3333,0.52,0.0,9,75,84,Musim Semi,Berkabut/Berawan
9602,,1,1,2,0,0,5,1,2,0.28,0.303,0.65,0.0896,4,39,43,Musim Semi,Berkabut/Berawan
9603,,1,1,2,1,0,5,1,2,0.28,0.303,0.61,0.0896,2,11,13,Musim Semi,Berkabut/Berawan
9604,,1,1,2,2,0,5,1,1,0.26,0.2879,0.52,0.0896,7,9,16,Musim Semi,Cerah/Sedikit Berawan
9605,,1,1,2,3,0,5,1,1,0.26,0.2879,0.56,0.0896,0,5,5,Musim Semi,Cerah/Sedikit Berawan
9606,,1,1,2,4,0,5,1,1,0.26,0.2879,0.56,0.0896,0,2,2,Musim Semi,Cerah/Sedikit Berawan
9607,,1,1,2,5,0,5,1,1,0.24,0.2273,0.52,0.2239,0,17,17,Musim Semi,Cerah/Sedikit Berawan
9608,,1,1,2,6,0,5,1,1,0.2,0.197,0.59,0.194,3,61,64,Musim Semi,Cerah/Sedikit Berawan
9609,,1,1,2,7,0,5,1,1,0.2,0.2121,0.59,0.1642,5,225,230,Musim Semi,Cerah/Sedikit Berawan
9610,,1,1,2,8,0,5,1,1,0.2,0.2121,0.59,0.1642,1,447,448,Musim Semi,Cerah/Sedikit Berawan
9611,,1,1,2,9,0,5,1,1,0.22,0.2273,0.55,0.1642,10,265,275,Musim Semi,Cerah/Sedikit Berawan
9612,,1,1,2,10,0,5,1,2,0.26,0.2727,0.48,0.1343,5,119,124,Musim Semi,Berkabut/Berawan
9613,,1,1,2,11,0,5,1,2,0.28,0.2879,0.45,0.1045,19,134,153,Musim Semi,Berkabut/Berawan
9614,,1,1,2,12,0,5,1,2,0.3,0.303,0.42,0.1343,8,168,176,Musim Semi,Berkabut/Berawan
9615,,1,1,2,13,0,5,1,2,0.3,0.3182,0.42,0.0896,22,170,192,Musim Semi,Berkabut/Berawan
9616,,1,1,2,14,0,5,1,2,0.32,0.3333,0.39,0.0896,8,138,146,Musim Semi,Berkabut/Berawan
9617,,1,1,2,15,0,5,1,2,0.32,0.3333,0.45,0.1343,27,164,191,Musim Semi,Berkabut/Berawan
9618,,1,1,2,16,0,5,1,2,0.34,0.3182,0.42,0.2537,28,240,268,Musim Semi,Berkabut/Berawan
9619,,1,1,2,17,0,5,1,2,0.34,0.3333,0.42,0.194,15,381,396,Musim Semi,Berkabut/Berawan
9620,,1,1,2,18,0,5,1,3,0.3,0.303,0.61,0.1343,14,345,359,Musim Semi,Salju Ringan/Hujan Ringan
9621,,1,1,2,19,0,5,1,2,0.32,0.3485,0.57,0.0,16,246,262,Musim Semi,Berkabut/Berawan
9622,,1,1,2,20,0,5,1,2,0.32,0.3485,0.57,0.0,7,144,151,Musim Semi,Berkabut/Berawan
9623,,1,1,2,21,0,5,1,2,0.32,0.3333,0.66,0.0896,14,108,122,Musim Semi,Berkabut/Berawan
9624,,1,1,2,22,0,5,1,2,0.32,0.3485,0.66,0.0,11,102,113,Musim Semi,Berkabut/Berawan
9625,,1,1,2,23,0,5,1,2,0.3,0.3182,0.7,0.0896,1,64,65,Musim Semi,Berkabut/Berawan
9626,,1,1,2,0,0,6,0,2,0.3,0.303,0.7,0.1343,3,50,53,Musim Semi,Berkabut/Berawan
9627,,1,1,2,1,0,6,0,3,0.28,0.2879,0.81,0.1343,2,43,45,Musim Semi,Salju Ringan/Hujan Ringan
9628,,1,1,2,2,0,6,0,3,0.26,0.2576,0.81,0.194,2,24,26,Musim Semi,Salju Ringan/Hujan Ringan
9629,,1,1,2,3,0,6,0,3,0.24,0.2273,0.87,0.2239,0,9,9,Musim Semi,Salju Ringan/Hujan Ringan
9630,,1,1,2,4,0,6,0,3,0.24,0.2273,0.87,0.2239,0,4,4,Musim Semi,Salju Ringan/Hujan Ringan
9631,,1,1,2,5,0,6,0,3,0.22,0.2273,0.93,0.1642,0,2,2,Musim Semi,Salju Ringan/Hujan Ringan
9632,,1,1,2,6,0,6,0,3,0.22,0.2273,0.93,0.1343,1,8,9,Musim Semi,Salju Ringan/Hujan Ringan
9633,,1,1,2,7,0,6,0,3,0.22,0.2273,0.93,0.1343,0,19,19,Musim Semi,Salju Ringan/Hujan Ringan
9634,,1,1,2,8,0,6,0,3,0.22,0.2273,0.93,0.1343,1,77,78,Musim Semi,Salju Ringan/Hujan Ringan
9635,,1,1,2,9,0,6,0,3,0.22,0.2424,0.93,0.1045,5,85,90,Musim Semi,Salju Ringan/Hujan Ringan
9636,,1,1,2,10,0,6,0,3,0.22,0.2424,0.93,0.1045,23,143,166,Musim Semi,Salju Ringan/Hujan Ringan
9637,,1,1,2,11,0,6,0,2,0.24,0.2576,0.81,0.1045,26,157,183,Musim Semi,Berkabut/Berawan
9638,,1,1,2,12,0,6,0,2,0.26,0.2576,0.81,0.1642,25,196,221,Musim Semi,Berkabut/Berawan
9639,,1,1,2,13,0,6,0,2,0.26,0.2424,0.81,0.2836,18,217,235,Musim Semi,Berkabut/Berawan
9640,,1,1,2,14,0,6,0,2,0.26,0.2424,0.81,0.2537,38,205,243,Musim Semi,Berkabut/Berawan
9641,,1,1,2,15,0,6,0,2,0.3,0.2727,0.61,0.2985,12,112,124,Musim Semi,Berkabut/Berawan
9642,,1,1,2,16,0,6,0,3,0.22,0.197,0.75,0.4179,12,134,146,Musim Semi,Salju Ringan/Hujan Ringan
9643,,1,1,2,17,0,6,0,3,0.22,0.1818,0.69,0.4627,13,131,144,Musim Semi,Salju Ringan/Hujan Ringan
9644,,1,1,2,18,0,6,0,2,0.22,0.1818,0.47,0.6567,3,105,108,Musim Semi,Berkabut/Berawan
9645,,1,1,2,19,0,6,0,2,0.2,0.1515,0.4,0.5522,2,85,87,Musim Semi,Berkabut/Berawan
9646,,1,1,2,20,0,6,0,2,0.16,0.1212,0.43,0.5522,1,62,63,Musim Semi,Berkabut/Berawan
9647,,1,1,2,21,0,6,0,1,0.14,0.0758,0.43,0.6418,5,43,48,Musim Semi,Cerah/Sedikit Berawan
9648,,1,1,2,22,0,6,0,2,0.14,0.1061,0.39,0.3881,0,46,46,Musim Semi,Berkabut/Berawan
9649,,1,1,2,23,0,6,0,3,0.12,0.0758,0.5,0.4925,0,20,20,Musim Semi,Salju Ringan/Hujan Ringan
9650,,1,1,2,0,0,0,0,3,0.1,0.0758,0.68,0.3881,0,21,21,Musim Semi,Salju Ringan/Hujan Ringan
9651,,1,1,2,1,0,0,0,3,0.08,0.0455,0.79,0.4627,0,24,24,Musim Semi,Salju Ringan/Hujan Ringan
9652,,1,1,2,2,0,0,0,2,0.1,0.0606,0.58,0.5821,1,26,27,Musim Semi,Berkabut/Berawan
9653,,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866,0,14,14,Musim Semi,Berkabut/Berawan
9654,,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164,0,1,1,Musim Semi,Berkabut/Berawan
9655,,1,1,2,5,0,0,0,1,0.1,0.0758,0.49,0.3881,0,3,3,Musim Semi,Cerah/Sedikit Berawan
9656,,1,1,2,6,0,0,0,1,0.1,0.0758,0.49,0.3881,0,2,2,Musim Semi,Cerah/Sedikit Berawan
9657,,1,1,2,7,0,0,0,1,0.08,0.0909,0.53,0.194,0,18,18,Musim Semi,Cerah/Sedikit Berawan
9658,,1,1,2,8,0,0,0,1,0.08,0.0758,0.53,0.2537,0,26,26,Musim Semi,Cerah/Sedikit Berawan
9659,,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985,3,60,63,Musim Semi,Cerah/Sedikit Berawan
9660,,1,1,2,10,0,0,0,1,0.12,0.1061,0.42,0.3582,8,83,91,Musim Semi,Cerah/Sedikit Berawan
9661,,1,1,2,11,0,0,0,1,0.12,0.1061,0.42,0.2985,3,121,124,Musim Semi,Cerah/Sedikit Berawan
9662,,1,1,2,12,0,0,0,1,0.14,0.0758,0.39,0.6418,7,133,140,Musim Semi,Cerah/Sedikit Berawan
9663,,1,1,2,13,0,0,0,1,0.16,0.1212,0.4,0.4478,10,128,138,Musim Semi,Cerah/Sedikit Berawan
9664,,1,1,2,14,0,0,0,1,0.16,0.1212,0.4,0.5224,9,102,111,Musim Semi,Cerah/Sedikit Berawan
9665,,1,1,2,15,0,0,0,1,0.16,0.1212,0.4,0.5522,5,150,155,Musim Semi,Cerah/Sedikit Berawan
9666,,1,1,2,16,0,0,0,1,0.2,0.1667,0.34,0.4627,16,148,164,Musim Semi,Cerah/Sedikit Berawan
9667,,1,1,2,17,0,0,0,1,0.18,0.1515,0.37,0.4179,4,83,87,Musim Semi,Cerah/Sedikit Berawan
9668,,1,1,2,18,0,0,0,1,0.16,0.1212,0.4,0.4627,4,92,96,Musim Semi,Cerah/Sedikit Berawan
9669,,1,1,2,19,0,0,0,1,0.16,0.1364,0.4,0.2836,2,78,80,Musim Semi,Cerah/Sedikit Berawan
9670,,1,1,2,20,0,0,0,1,0.14,0.1212,0.42,0.3284,1,56,57,Musim Semi,Cerah/Sedikit Berawan
9671,,1,1,2,21,0,0,0,1,0.14,0.1212,0.43,0.2985,0,36,36,Musim Semi,Cerah/Sedikit Berawan
9672,,1,1,2,22,0,0,0,1,0.14,0.1515,0.43,0.1642,0,28,28,Musim Semi,Cerah/Sedikit Berawan
9673,,1,1,2,23,0,0,0,1,0.14,0.1364,0.43,0.2239,0,23,23,Musim Semi,Cerah/Sedikit Berawan
9674,,1,1,2,0,0,1,1,1,0.14,0.1364,0.46,0.2239,0,9,9,Musim Semi,Cerah/Sedikit Berawan
9675,,1,1,2,1,0,1,1,1,0.12,0.1212,0.5,0.2239,0,6,6,Musim Semi,Cerah/Sedikit Berawan
9676,,1,1,2,2,0,1,1,1,0.14,0.1364,0.46,0.194,0,4,4,Musim Semi,Cerah/Sedikit Berawan
9677,,1,1,2,3,0,1,1,1,0.12,0.1515,0.54,0.1045,0,1,1,Musim Semi,Cerah/Sedikit Berawan
9678,,1,1,2,4,0,1,1,1,0.12,0.1667,0.54,0.0896,0,2,2,Musim Semi,Cerah/Sedikit Berawan
9679,,1,1,2,5,0,1,1,1,0.1,0.1212,0.58,0.1343,0,17,17,Musim Semi,Cerah/Sedikit Berawan
9680,,1,1,2,6,0,1,1,1,0.1,0.1061,0.54,0.2239,1,71,72,Musim Semi,Cerah/Sedikit Berawan
9681,,1,1,2,7,0,1,1,1,0.1,0.1061,0.54,0.194,1,194,195,Musim Semi,Cerah/Sedikit Berawan
9682,,1,1,2,8,0,1,1,1,0.1,0.1212,0.54,0.1343,4,413,417,Musim Semi,Cerah/Sedikit Berawan
9683,,1,1,2,9,0,1,1,1,0.12,0.1364,0.5,0.194,7,198,205,Musim Semi,Cerah/Sedikit Berawan
9684,,1,1,2,10,0,1,1,1,0.14,0.1515,0.5,0.1343,1,70,71,Musim Semi,Cerah/Sedikit Berawan
9685,,1,1,2,11,0,1,1,1,0.22,0.2273,0.37,0.194,5,85,90,Musim Semi,Cerah/Sedikit Berawan
9686,,1,1,2,12,0,1,1,1,0.28,0.2576,0.28,0.3284,7,111,118,Musim Semi,Cerah/Sedikit Berawan
9687,,1,1,2,13,0,1,1,1,0.32,0.303,0.22,0.2239,11,129,140,Musim Semi,Cerah/Sedikit Berawan
9688,,1,1,2,14,0,1,1,1,0.34,0.3485,0.23,0.1045,10,125,135,Musim Semi,Cerah/Sedikit Berawan
9689,,1,1,2,15,0,1,1,1,0.36,0.3485,0.27,0.1343,10,145,155,Musim Semi,Cerah/Sedikit Berawan
9690,,1,1,2,16,0,1,1,1,0.36,0.3485,0.23,0.194,5,206,211,Musim Semi,Cerah/Sedikit Berawan
9691,,1,1,2,17,0,1,1,1,0.36,0.3485,0.23,0.194,8,399,407,Musim Semi,Cerah/Sedikit Berawan
9692,,1,1,2,18,0,1,1,1,0.34,0.3182,0.25,0.2537,6,399,405,Musim Semi,Cerah/Sedikit Berawan
9693,,1,1,2,19,0,1,1,1,0.34,0.3333,0.25,0.1343,7,256,263,Musim Semi,Cerah/Sedikit Berawan
9694,,1,1,2,20,0,1,1,1,0.3,0.303,0.42,0.1642,4,210,214,Musim Semi,Cerah/Sedikit Berawan
9695,,1,1,2,21,0,1,1,1,0.28,0.2879,0.45,0.1343,2,145,147,Musim Semi,Cerah/Sedikit Berawan
9696,,1,1,2,22,0,1,1,1,0.26,0.2727,0.56,0.1045,3,99,102,Musim Semi,Cerah/Sedikit Berawan
9697,,1,1,2,23,0,1,1,1,0.28,0.3182,0.41,0.0,2,34,36,Musim Semi,Cerah/Sedikit Berawan
9698,,1,1,2,0,0,2,1,2,0.26,0.303,0.6,0.0,0,14,14,Musim Semi,Berkabut/Berawan
9699,,1,1,2,1,0,2,1,2,0.26,0.303,0.56,0.0,0,6,6,Musim Semi,Berkabut/Berawan
9700,,1,1,2,2,0,2,1,2,0.28,0.3182,0.41,0.0,0,3,3,Musim Semi,Berkabut/Berawan
9701,,1,1,2,3,0,2,1,2,0.26,0.303,0.52,0.0,0,3,3,Musim Semi,Berkabut/Berawan
9702,,1,1,2,4,0,2,1,2,0.26,0.2727,0.65,0.1045,0,2,2,Musim Semi,Berkabut/Berawan
9703,,1,1,2,5,0,2,1,2,0.26,0.2727,0.65,0.1045,2,20,22,Musim Semi,Berkabut/Berawan
9704,,1,1,2,6,0,2,1,2,0.26,0.303,0.56,0.0,1,89,90,Musim Semi,Berkabut/Berawan
9705,,1,1,2,7,0,2,1,2,0.24,0.2576,0.6,0.0896,4,276,280,Musim Semi,Berkabut/Berawan
9706,,1,1,2,8,0,2,1,2,0.24,0.2879,0.7,0.0,3,510,513,Musim Semi,Berkabut/Berawan
9707,,1,1,2,9,0,2,1,2,0.26,0.2879,0.56,0.0896,6,256,262,Musim Semi,Berkabut/Berawan
9708,,1,1,2,10,0,2,1,2,0.26,0.2727,0.6,0.1343,8,90,98,Musim Semi,Berkabut/Berawan
9709,,1,1,2,11,0,2,1,2,0.3,0.303,0.45,0.1642,5,107,112,Musim Semi,Berkabut/Berawan
9710,,1,1,2,12,0,2,1,2,0.3,0.2879,0.52,0.2239,10,162,172,Musim Semi,Berkabut/Berawan
9711,,1,1,2,13,0,2,1,2,0.36,0.3333,0.4,0.2537,6,167,173,Musim Semi,Berkabut/Berawan
9712,,1,1,2,14,0,2,1,1,0.4,0.4091,0.4,0.2239,13,111,124,Musim Semi,Cerah/Sedikit Berawan
9713,,1,1,2,15,0,2,1,2,0.42,0.4242,0.38,0.4478,7,138,145,Musim Semi,Berkabut/Berawan
9714,,1,1,2,16,0,2,1,1,0.42,0.4242,0.35,0.2985,15,251,266,Musim Semi,Cerah/Sedikit Berawan
9715,,1,1,2,17,0,2,1,1,0.42,0.4242,0.38,0.3582,19,504,523,Musim Semi,Cerah/Sedikit Berawan
9716,,1,1,2,18,0,2,1,2,0.38,0.3939,0.46,0.2985,8,398,406,Musim Semi,Berkabut/Berawan
9717,,1,1,2,19,0,2,1,2,0.36,0.3485,0.5,0.1642,11,270,281,Musim Semi,Berkabut/Berawan
9718,,1,1,2,20,0,2,1,2,0.38,0.3939,0.46,0.1343,6,178,184,Musim Semi,Berkabut/Berawan
9719,,1,1,2,21,0,2,1,2,0.36,0.3636,0.5,0.1045,4,105,109,Musim Semi,Berkabut/Berawan
9720,,1,1,2,22,0,2,1,2,0.36,0.3636,0.5,0.1045,5,72,77,Musim Semi,Berkabut/Berawan
9721,,1,1,2,23,0,2,1,2,0.36,0.3636,0.5,0.0896,2,55,57,Musim Semi,Berkabut/Berawan
9722,,1,1,2,0,0,3,1,1,0.32,0.3485,0.57,0.0,0,22,22,Musim Semi,Cerah/Sedikit Berawan
9723,,1,1,2,1,0,3,1,1,0.34,0.3636,0.53,0.0,0,5,5,Musim Semi,Cerah/Sedikit Berawan
9724,,1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0.0,0,4,4,Musim Semi,Cerah/Sedikit Berawan
9725,,1,1,2,3,0,3,1,1,0.28,0.3182,0.75,0.0,0,3,3,Musim Semi,Cerah/Sedikit Berawan
9726,,1,1,2,4,0,3,1,1,0.28,0.2879,0.7,0.1045,0,1,1,Musim Semi,Cerah/Sedikit Berawan
9727,,1,1,2,5,0,3,1,1,0.28,0.2879,0.7,0.1045,0,25,25,Musim Semi,Cerah/Sedikit Berawan
9728,,1,1,2,6,0,3,1,1,0.3,0.303,0.61,0.1343,3,92,95,Musim Semi,Cerah/Sedikit Berawan
9729,,1,1,2,7,0,3,1,2,0.3,0.2879,0.65,0.194,3,318,321,Musim Semi,Berkabut/Berawan
9730,,1,1,2,8,0,3,1,1,0.32,0.2879,0.61,0.3582,7,508,515,Musim Semi,Cerah/Sedikit Berawan
9731,,1,1,2,9,0,3,1,1,0.32,0.303,0.61,0.3284,5,226,231,Musim Semi,Cerah/Sedikit Berawan
9732,,1,1,2,10,0,3,1,1,0.34,0.303,0.57,0.2985,12,108,120,Musim Semi,Cerah/Sedikit Berawan
9733,,1,1,2,11,0,3,1,1,0.36,0.3333,0.53,0.2836,13,125,138,Musim Semi,Cerah/Sedikit Berawan
9734,,1,1,2,12,0,3,1,1,0.38,0.3939,0.46,0.3881,11,152,163,Musim Semi,Cerah/Sedikit Berawan
9735,,1,1,2,13,0,3,1,1,0.4,0.4091,0.43,0.2836,11,159,170,Musim Semi,Cerah/Sedikit Berawan
9736,,1,1,2,14,0,3,1,1,0.42,0.4242,0.41,0.3582,6,128,134,Musim Semi,Cerah/Sedikit Berawan
9737,,1,1,2,15,0,3,1,1,0.42,0.4242,0.41,0.2239,7,164,171,Musim Semi,Cerah/Sedikit Berawan
9738,,1,1,2,16,0,3,1,1,0.42,0.4242,0.38,0.194,9,222,231,Musim Semi,Cerah/Sedikit Berawan
9739,,1,1,2,17,0,3,1,1,0.42,0.4242,0.38,0.194,17,470,487,Musim Semi,Cerah/Sedikit Berawan
9740,,1,1,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,9,459,468,Musim Semi,Cerah/Sedikit Berawan
9741,,1,1,2,19,0,3,1,1,0.38,0.3939,0.43,0.1642,9,302,311,Musim Semi,Cerah/Sedikit Berawan
9742,,1,1,2,20,0,3,1,1,0.36,0.3485,0.46,0.1642,4,207,211,Musim Semi,Cerah/Sedikit Berawan
9743,,1,1,2,21,0,3,1,1,0.34,0.3333,0.53,0.1642,8,170,178,Musim Semi,Cerah/Sedikit Berawan
9744,,1,1,2,22,0,3,1,1,0.34,0.3485,0.49,0.1045,3,104,107,Musim Semi,Cerah/Sedikit Berawan
9745,,1,1,2,23,0,3,1,1,0.34,0.3485,0.53,0.0896,4,54,58,Musim Semi,Cerah/Sedikit Berawan
9746,,1,1,2,0,0,4,1,2,0.3,0.303,0.7,0.1343,1,22,23,Musim Semi,Berkabut/Berawan
9747,,1,1,2,1,0,4,1,2,0.3,0.3333,0.7,0.0,0,5,5,Musim Semi,Berkabut/Berawan
9748,,1,1,2,2,0,4,1,2,0.3,0.3182,0.7,0.0896,1,6,7,Musim Semi,Berkabut/Berawan
9749,,1,1,2,3,0,4,1,2,0.3,0.3333,0.61,0.0,0,1,1,Musim Semi,Berkabut/Berawan
9750,,1,1,2,4,0,4,1,3,0.3,0.3182,0.7,0.0896,0,3,3,Musim Semi,Salju Ringan/Hujan Ringan
9751,,1,1,2,5,0,4,1,2,0.3,0.3333,0.7,0.0,0,20,20,Musim Semi,Berkabut/Berawan
9752,,1,1,2,6,0,4,1,2,0.3,0.3182,0.7,0.0896,4,83,87,Musim Semi,Berkabut/Berawan
9753,,1,1,2,7,0,4,1,2,0.3,0.303,0.7,0.1343,3,285,288,Musim Semi,Berkabut/Berawan
9754,,1,1,2,8,0,4,1,2,0.3,0.3182,0.7,0.0896,9,489,498,Musim Semi,Berkabut/Berawan
9755,,1,1,2,9,0,4,1,2,0.3,0.303,0.7,0.1642,3,199,202,Musim Semi,Berkabut/Berawan
9756,,1,1,2,10,0,4,1,3,0.32,0.3333,0.7,0.1343,2,42,44,Musim Semi,Salju Ringan/Hujan Ringan
9757,,1,1,2,11,0,4,1,3,0.32,0.3333,0.7,0.1045,2,69,71,Musim Semi,Salju Ringan/Hujan Ringan
9758,,1,1,2,12,0,4,1,3,0.32,0.3333,0.76,0.0896,1,44,45,Musim Semi,Salju Ringan/Hujan Ringan
9759,,1,1,2,13,0,4,1,3,0.34,0.3182,0.71,0.2537,2,62,64,Musim Semi,Salju Ringan/Hujan Ringan
9760,,1,1,2,14,0,4,1,3,0.32,0.3182,0.81,0.194,1,30,31,Musim Semi,Salju Ringan/Hujan Ringan
9761,,1,1,2,15,0,4,1,3,0.34,0.3636,0.76,0.0,3,50,53,Musim Semi,Salju Ringan/Hujan Ringan
9762,,1,1,2,16,0,4,1,3,0.34,0.3636,0.81,0.0,8,110,118,Musim Semi,Salju Ringan/Hujan Ringan
9763,,1,1,2,17,0,4,1,3,0.34,0.3636,0.87,0.0,8,281,289,Musim Semi,Salju Ringan/Hujan Ringan
9764,,1,1,2,18,0,4,1,3,0.34,0.3333,0.87,0.1343,8,345,353,Musim Semi,Salju Ringan/Hujan Ringan
9765,,1,1,2,19,0,4,1,2,0.32,0.3182,0.87,0.1642,4,254,258,Musim Semi,Berkabut/Berawan
9766,,1,1,2,20,0,4,1,2,0.32,0.3333,0.87,0.1343,5,211,216,Musim Semi,Berkabut/Berawan
9767,,1,1,2,21,0,4,1,2,0.34,0.3485,0.81,0.1045,3,142,145,Musim Semi,Berkabut/Berawan
9768,,1,1,2,22,0,4,1,2,0.32,0.3485,0.81,0.0,3,108,111,Musim Semi,Berkabut/Berawan
9769,,1,1,2,23,0,4,1,1,0.32,0.3333,0.81,0.0896,3,70,73,Musim Semi,Cerah/Sedikit Berawan
9770,,1,1,2,0,0,5,1,2,0.3,0.3333,0.87,0.0,2,32,34,Musim Semi,Berkabut/Berawan
9771,,1,1,2,1,0,5,1,2,0.3,0.3333,0.93,0.0,2,16,18,Musim Semi,Berkabut/Berawan
